x-axis,FFT
Hertz,dBV
+44.2500E+06,-58.284502E+00
+44.5000E+06,-58.682002E+00
+44.7500E+06,-59.079502E+00
+45.0000E+06,-59.364111E+00
+45.2500E+06,-59.400361E+00
+45.5000E+06,-59.414600E+00
+45.7500E+06,-59.389600E+00
+46.0000E+06,-59.450928E+00
+46.2500E+06,-59.638428E+00
+46.5000E+06,-59.759658E+00
+46.7500E+06,-59.800908E+00
+47.0000E+06,-59.791533E+00
+47.2500E+06,-59.731533E+00
+47.5000E+06,-59.497217E+00
+47.7500E+06,-59.118467E+00
+48.0000E+06,-58.760498E+00
+48.2500E+06,-58.416748E+00
+48.5000E+06,-57.526064E+00
+48.7500E+06,-56.328564E+00
+49.0000E+06,-54.352471E+00
+49.2500E+06,-52.022471E+00
+49.5000E+06,-50.395635E+00
+49.7500E+06,-49.023135E+00
+50.0000E+06,-49.028564E+00
+50.2500E+06,-49.419814E+00
+50.5000E+06,-51.117432E+00
+50.7500E+06,-53.086182E+00
+51.0000E+06,-56.097275E+00
+51.2500E+06,-59.257275E+00
+51.5000E+06,-61.219990E+00
+51.7500E+06,-63.081240E+00
+52.0000E+06,-64.096045E+00
+52.2500E+06,-65.074873E+00
+52.5000E+06,-65.507373E+00
+52.7500E+06,-65.912842E+00
+53.0000E+06,-65.912842E+00
+53.2500E+06,-65.912158E+00
+53.5000E+06,-65.905908E+00
+53.7500E+06,-65.908252E+00
+54.0000E+06,-65.957002E+00
+54.2500E+06,-66.103506E+00
+54.5000E+06,-66.633506E+00
+54.7500E+06,-67.235693E+00
+55.0000E+06,-68.054443E+00
+55.2500E+06,-68.572979E+00
+55.5000E+06,-68.380479E+00
+55.7500E+06,-67.894072E+00
+56.0000E+06,-66.846572E+00
+56.2500E+06,-66.179932E+00
+56.5000E+06,-66.107432E+00
+56.7500E+06,-66.390400E+00
+57.0000E+06,-67.130400E+00
+57.2500E+06,-67.550107E+00
+57.5000E+06,-67.628857E+00
+57.7500E+06,-67.669092E+00
+58.0000E+06,-67.675342E+00
+58.2500E+06,-68.144092E+00
+58.5000E+06,-68.950342E+00
+58.7500E+06,-69.757373E+00
+59.0000E+06,-70.564873E+00
+59.2500E+06,-70.671943E+00
+59.5000E+06,-70.436943E+00
+59.7500E+06,-70.539756E+00
+60.0000E+06,-70.774756E+00
+60.2500E+06,-71.488271E+00
+60.5000E+06,-72.348271E+00
+60.7500E+06,-73.360615E+00
+61.0000E+06,-74.408115E+00
+61.2500E+06,-74.850830E+00
+61.5000E+06,-75.194580E+00
+61.7500E+06,-74.610557E+00
+62.0000E+06,-73.930557E+00
