x-axis,FFT
Hertz,dBV
0.0,-110.0
20000.0,-56.21338816330912
40000.0,-52.3948466451943
60000.0,-40.5318564982005
80000.0,-54.734089459185896
100000.0,-67.43362614435745
120000.0,-47.839577513647825
140000.0,-45.15328781648143
160000.0,-54.729955562012776
180000.0,-66.50680607679254
200000.0,-43.70425631747275
220000.0,-52.707486102217366
240000.0,-54.292005019073926
260000.0,-45.061235388775025
280000.0,-56.77003534638275
300000.0,-55.313370233008676
320000.0,-47.990168249214385
340000.0,-70.55198373956114
360000.0,-59.337459112624714
380000.0,-52.46534139282596
400000.0,-55.728711539973816
420000.0,-67.31254389955976
440000.0,-61.186746897047435
460000.0,-48.06544383288485
480000.0,-61.955589702761166
500000.0,-61.45981551044627
520000.0,-44.10972263426175
540000.0,-62.62090487673948
560000.0,-56.732916559219824
580000.0,-43.88822710198447
600000.0,-52.43221849898437
620000.0,-59.26130353394576
640000.0,-49.0153422400317
660000.0,-44.390573651994416
680000.0,-52.830141287840455
700000.0,-55.407480662674324
720000.0,-43.32379134633869
740000.0,-53.733069594174516
760000.0,-55.171713746293385
780000.0,-48.45335103143203
800000.0,-57.39522667149002
820000.0,-58.012095692080045
840000.0,-62.418210350786325
860000.0,-55.26943162314371
880000.0,-55.85717703986171
900000.0,-52.7754190985199
920000.0,-58.99343624096986
940000.0,-58.60924075910381
960000.0,-56.489327162960166
980000.0,-53.05413337244468
1000000.0,-64.02797159806259
1020000.0,-61.44238387544206
1040000.0,-53.30545029902637
1060000.0,-57.82421226352608
1080000.0,-60.37087507290203
1100000.0,-61.42723975538048
1120000.0,-51.11951958940098
1140000.0,-53.77466758028543
1160000.0,-54.85936950500203
1180000.0,-50.70631248101278
1200000.0,-52.560169073363355
1220000.0,-51.94127626948588
1240000.0,-45.69928553775081
1260000.0,-49.76612546714753
1280000.0,-47.943289864943864
1300000.0,-37.522520797102445
1320000.0,-48.02853977001075
1340000.0,-44.33133677599752
1360000.0,-35.32470909958099
1380000.0,-45.21595094774252
1400000.0,-48.05217921086913
1420000.0,-38.61724356558686
1440000.0,-34.8641492134045
1460000.0,-49.14005916674164
1480000.0,-54.43575027717303
1500000.0,-30.785629798545365
1520000.0,-45.95123933482136
1540000.0,-45.611499535423945
1560000.0,-30.681436897958324
1580000.0,-54.13286694578869
1600000.0,-47.20527000735427
1620000.0,-34.29642962079559
1640000.0,-38.495224966212675
1660000.0,-48.554653869959765
1680000.0,-43.12891731884618
1700000.0,-34.50053484290926
1720000.0,-44.165451568735214
1740000.0,-48.568627084947096
1760000.0,-35.21928888851653
1780000.0,-47.50577958320058
1800000.0,-49.022859909966456
1820000.0,-39.93341881004571
1840000.0,-53.095373519196315
1860000.0,-54.43139759064568
1880000.0,-49.382132753839905
1900000.0,-48.233246265085825
1920000.0,-53.26475013493787
1940000.0,-58.10802814610099
1960000.0,-46.26824837749577
1980000.0,-51.394622592160424
2000000.0,-52.906725482380054
2020000.0,-46.87955257379305
2040000.0,-52.538706815783705
2060000.0,-52.25304229920716
2080000.0,-48.84590199212566
2100000.0,-54.11060894812568
2120000.0,-53.285717995107504
2140000.0,-49.11472795791458
2160000.0,-58.50686542106084
2180000.0,-52.94870563878596
2200000.0,-49.38919469642074
2220000.0,-50.95180401422255
2240000.0,-57.04791784073503
2260000.0,-54.152337119480805
2280000.0,-39.850253930940596
2300000.0,-50.342654920171306
2320000.0,-47.596554182051335
2340000.0,-35.9712411612059
2360000.0,-50.2746181956536
2380000.0,-46.28244676796842
2400000.0,-36.679667667698595
2420000.0,-40.673201718440495
2440000.0,-51.79175914444343
2460000.0,-43.18154828831322
2480000.0,-34.33267806508929
2500000.0,-47.1255577021541
2520000.0,-53.87578409862976
2540000.0,-32.62694401972311
2560000.0,-50.93187039421625
2580000.0,-49.228854368949655
2600000.0,-34.8506392886315
2620000.0,-48.12988594100457
2640000.0,-58.044028189463155
2660000.0,-42.119453557251376
2680000.0,-40.38009772052626
2700000.0,-48.47178802997438
2720000.0,-52.616761690479514
2740000.0,-41.24337202266452
2760000.0,-49.37699053260077
2780000.0,-51.793820816139274
2800000.0,-50.7068439213467
2820000.0,-53.833056491201745
2840000.0,-54.92373914074015
2860000.0,-53.95684709908687
2880000.0,-54.197098591471644
2900000.0,-54.436540515553766
2920000.0,-50.72218115392183
2940000.0,-55.63274765393955
2960000.0,-57.92690456715489
2980000.0,-56.43271339130457
3000000.0,-58.8198510631816
3020000.0,-61.743272499742105
3040000.0,-61.828499704001985
3060000.0,-65.61915112420448
3080000.0,-61.9170753715714
3100000.0,-60.01370047516153
3120000.0,-54.707757949013114
3140000.0,-64.11920096178551
3160000.0,-60.257328129533136
3180000.0,-56.67527210168525
3200000.0,-61.65475636720181
3220000.0,-65.57306507601707
3240000.0,-62.299252216560475
3260000.0,-55.36919760468582
3280000.0,-61.92697311953679
3300000.0,-62.26592260301604
3320000.0,-53.869919955376034
3340000.0,-62.61765710491997
3360000.0,-60.63638207684644
3380000.0,-54.46068183296315
3400000.0,-64.90817301199317
3420000.0,-61.65604438334972
3440000.0,-58.012545668939566
3460000.0,-68.91743485021948
3480000.0,-68.29256798790003
3500000.0,-63.918176843357635
3520000.0,-59.198833423005766
3540000.0,-67.33514077285787
3560000.0,-63.60245029244183
3580000.0,-52.50112849848185
3600000.0,-63.77624869893839
3620000.0,-59.698976961245265
3640000.0,-50.19832282785052
3660000.0,-60.58683230848572
3680000.0,-60.04790953587646
3700000.0,-52.08385498191763
3720000.0,-51.40161323615334
3740000.0,-65.12341607768785
3760000.0,-61.06083922101842
3780000.0,-46.95305790439157
3800000.0,-62.04224264261082
3820000.0,-65.21836040552132
3840000.0,-46.33899665770639
3860000.0,-75.44097029624835
3880000.0,-67.03683308196648
3900000.0,-50.86062879647993
3920000.0,-55.49761801855097
3940000.0,-61.91029827264866
3960000.0,-62.54425323454284
3980000.0,-53.08981917175579
4000000.0,-59.369039208179515
4020000.0,-61.11585971986234
4040000.0,-59.93612426931337
4060000.0,-62.43750342939515
4080000.0,-60.63936629588539
4100000.0,-56.12074972068447
4120000.0,-60.2775091439395
4140000.0,-60.226928463594675
4160000.0,-52.40517603444396
4180000.0,-60.610701016790046
4200000.0,-61.74018475466241
4220000.0,-56.78775364419036
4240000.0,-55.84014800598923
4260000.0,-64.49566680909795
4280000.0,-62.552167024098885
4300000.0,-59.12777568332994
4320000.0,-64.47335214626266
4340000.0,-63.11890336407228
4360000.0,-56.70499684498737
4380000.0,-61.629842773297824
4400000.0,-58.65178344311849
4420000.0,-52.28403648173614
4440000.0,-68.2693809858925
4460000.0,-63.062860050554114
4480000.0,-55.404666935223744
