x-axis,FFT
Hertz,dBV
-3.0000E+06,
-2.5000E+06,
-2.0000E+06,
-1.5000E+06,
-1.0000E+06,
-500.0E+03,
+0E+00,-53.377686E+00
+500.0E+03,-63.159424E+00
+1.0000E+06,-69.582334E+00
+1.5000E+06,-79.223467E+00
+2.0000E+06,-66.127979E+00
+2.5000E+06,-66.550928E+00
+3.0000E+06,-78.463350E+00
+3.5000E+06,-59.458877E+00
+4.0000E+06,-64.464619E+00
+4.5000E+06,-65.605439E+00
+5.0000E+06,-79.097900E+00
+5.5000E+06,-68.988721E+00
+6.0000E+06,-64.493467E+00
+6.5000E+06,-74.676514E+00
+7.0000E+06,-60.794717E+00
+7.5000E+06,-75.949854E+00
+8.0000E+06,-57.005303E+00
+8.5000E+06,-57.753936E+00
+9.0000E+06,-46.203799E+00
+9.5000E+06,-38.339912E+00
+10.0000E+06,-359.229E-03
+10.5000E+06,-38.348408E+00
+11.0000E+06,-47.312295E+00
+11.5000E+06,-60.354912E+00
+12.0000E+06,-58.164717E+00
+12.5000E+06,-71.406982E+00
+13.0000E+06,-63.251260E+00
+13.5000E+06,-63.100068E+00
+14.0000E+06,-63.845088E+00
+14.5000E+06,-62.620400E+00
+15.0000E+06,-59.037744E+00
+15.5000E+06,-66.858213E+00
+16.0000E+06,-63.251904E+00
+16.5000E+06,-72.805732E+00
+17.0000E+06,-79.096162E+00
+17.5000E+06,-63.756201E+00
+18.0000E+06,-62.003193E+00
+18.5000E+06,-64.294248E+00
+19.0000E+06,-61.555186E+00
+19.5000E+06,-65.776260E+00
+20.0000E+06,-60.390674E+00
+20.5000E+06,-67.988291E+00
+21.0000E+06,-70.687842E+00
+21.5000E+06,-73.204463E+00
+22.0000E+06,-73.187822E+00
+22.5000E+06,-66.704639E+00
+23.0000E+06,-69.357939E+00
+23.5000E+06,-68.292021E+00
+24.0000E+06,-63.774561E+00
+24.5000E+06,-64.669482E+00
+25.0000E+06,-63.772705E+00
+25.5000E+06,-72.694971E+00
+26.0000E+06,-73.627061E+00
+26.5000E+06,-71.067061E+00
+27.0000E+06,-72.177783E+00
+27.5000E+06,-61.801611E+00
+28.0000E+06,-66.678525E+00
+28.5000E+06,-68.124775E+00
+29.0000E+06,-75.235889E+00
+29.5000E+06,-62.918955E+00
+30.0000E+06,-62.224854E+00
+30.5000E+06,-72.941826E+00
+31.0000E+06,-71.868369E+00
+31.5000E+06,-72.035635E+00
+32.0000E+06,-69.333584E+00
+32.5000E+06,-67.285498E+00
+33.0000E+06,-64.579736E+00
+33.5000E+06,-64.178779E+00
+34.0000E+06,-71.498779E+00
+34.5000E+06,-64.106221E+00
+35.0000E+06,-67.972021E+00
+35.5000E+06,-68.900322E+00
+36.0000E+06,-62.375537E+00
+36.5000E+06,-61.475967E+00
+37.0000E+06,-64.367881E+00
+37.5000E+06,-67.177979E+00
+38.0000E+06,-69.291182E+00
+38.5000E+06,-71.303818E+00
+39.0000E+06,-72.512451E+00
+39.5000E+06,-64.183584E+00
+40.0000E+06,-67.094189E+00
+40.5000E+06,-70.426045E+00
+41.0000E+06,-67.755576E+00
+41.5000E+06,-67.964150E+00
+42.0000E+06,-71.045146E+00
+42.5000E+06,-73.846338E+00
+43.0000E+06,-76.579561E+00
+43.5000E+06,-70.484834E+00
+44.0000E+06,-67.389053E+00
+44.5000E+06,-63.062275E+00
+45.0000E+06,-70.915576E+00
+45.5000E+06,-71.485459E+00
+46.0000E+06,-70.123643E+00
+46.5000E+06,-63.845303E+00
+47.0000E+06,-69.446885E+00
+47.5000E+06,-60.921533E+00
+48.0000E+06,-69.856475E+00
+48.5000E+06,-62.409580E+00
+49.0000E+06,-66.123369E+00
+49.5000E+06,-72.028779E+00
+50.0000E+06,-54.399170E+00
+50.5000E+06,-76.760303E+00
+51.0000E+06,-71.264346E+00
+51.5000E+06,-63.522139E+00
+52.0000E+06,-64.724072E+00
+52.5000E+06,-82.543213E+00
+53.0000E+06,-65.912061E+00
+53.5000E+06,-70.824717E+00
+54.0000E+06,-67.886143E+00
+54.5000E+06,-71.038896E+00
+55.0000E+06,-69.561475E+00
+55.5000E+06,-72.973271E+00
+56.0000E+06,-64.376396E+00
+56.5000E+06,-69.827959E+00
+57.0000E+06,-65.294580E+00
+57.5000E+06,-69.990967E+00
+58.0000E+06,-59.956514E+00
+58.5000E+06,-64.671357E+00
+59.0000E+06,-66.496436E+00
+59.5000E+06,-67.354463E+00
+60.0000E+06,-70.144482E+00
+60.5000E+06,-66.440811E+00
+61.0000E+06,-71.704209E+00
+61.5000E+06,-72.059053E+00
+62.0000E+06,-82.765947E+00
+62.5000E+06,-74.027100E+00
+63.0000E+06,-66.825986E+00
+63.5000E+06,-63.376045E+00
+64.0000E+06,-76.956455E+00
+64.5000E+06,-72.798076E+00
+65.0000E+06,-78.734033E+00
+65.5000E+06,-74.286553E+00
+66.0000E+06,-68.679834E+00
+66.5000E+06,-62.520205E+00
+67.0000E+06,-65.503994E+00
+67.5000E+06,-70.471143E+00
+68.0000E+06,-71.898936E+00
+68.5000E+06,-79.345010E+00
+69.0000E+06,-70.920381E+00
+69.5000E+06,-63.195635E+00
+70.0000E+06,-66.079736E+00
+70.5000E+06,-69.871494E+00
+71.0000E+06,-62.984385E+00
+71.5000E+06,-72.036592E+00
+72.0000E+06,-63.085068E+00
+72.5000E+06,-78.318213E+00
