x-axis,FFT
Hertz,dBV
+0E+00,-36.363525E+00
+250.0E+03,-29.443760E+00
+500.0E+03,-28.357588E+00
+750.0E+03,-31.222510E+00
+1.0000E+06,-34.470498E+00
+1.2500E+06,-26.714502E+00
+1.5000E+06,-16.937236E+00
+1.7500E+06,-20.408838E+00
+2.0000E+06,-33.457002E+00
+2.2500E+06,-26.174326E+00
+2.5000E+06,-18.683643E+00
+2.7500E+06,-27.445361E+00
+3.0000E+06,-40.534658E+00
+3.2500E+06,-39.353662E+00
+3.5000E+06,-40.792373E+00
+3.7500E+06,-31.722900E+00
+4.0000E+06,-39.856611E+00
+4.2500E+06,-39.093701E+00
+4.5000E+06,-33.119756E+00
+4.7500E+06,-32.196299E+00
+5.0000E+06,-28.517334E+00
+5.2500E+06,-38.598955E+00
+5.5000E+06,-44.481221E+00
+5.7500E+06,-47.089346E+00
+6.0000E+06,-51.153525E+00
+6.2500E+06,-52.088623E+00
+6.5000E+06,-53.150439E+00
+6.7500E+06,-40.751338E+00
+7.0000E+06,-47.160654E+00
+7.2500E+06,-56.217061E+00
+7.5000E+06,-45.102588E+00
+7.7500E+06,-51.299717E+00
+8.0000E+06,-62.486670E+00
+8.2500E+06,-65.851221E+00
+8.5000E+06,-62.747451E+00
+8.7500E+06,-61.763428E+00
+9.0000E+06,-73.236338E+00
+9.2500E+06,-69.554307E+00
+9.5000E+06,-79.495127E+00
+9.7500E+06,-49.901611E+00
+10.0000E+06,-44.321240E+00
+10.2500E+06,-54.309385E+00
+10.5000E+06,-76.468174E+00
+10.7500E+06,-75.210322E+00
+11.0000E+06,-74.755518E+00
+11.2500E+06,-64.159229E+00
+11.5000E+06,-73.083682E+00
+11.7500E+06,-71.817939E+00
+12.0000E+06,-66.566162E+00
+12.2500E+06,-69.715225E+00
+12.5000E+06,-65.868408E+00
+12.7500E+06,-66.164170E+00
+13.0000E+06,-79.011826E+00
+13.2500E+06,-71.560908E+00
+13.5000E+06,-68.643857E+00
+13.7500E+06,-68.723096E+00
+14.0000E+06,-69.463604E+00
+14.2500E+06,-72.622686E+00
+14.5000E+06,-65.430908E+00
+14.7500E+06,-72.387861E+00
+15.0000E+06,-64.329639E+00
+15.2500E+06,-73.059932E+00
+15.5000E+06,-61.413389E+00
+15.7500E+06,-69.322607E+00
+16.0000E+06,-72.576592E+00
+16.2500E+06,-78.978076E+00
+16.5000E+06,-71.120264E+00
+16.7500E+06,-70.198760E+00
+17.0000E+06,-65.880322E+00
+17.2500E+06,-74.216162E+00
+17.5000E+06,-59.525244E+00
+17.7500E+06,-69.079580E+00
+18.0000E+06,-65.698857E+00
+18.2500E+06,-60.391221E+00
+18.5000E+06,-72.531904E+00
+18.7500E+06,-65.598877E+00
+19.0000E+06,-66.346436E+00
+19.2500E+06,-64.764170E+00
+19.5000E+06,-70.446943E+00
+19.7500E+06,-72.464424E+00
+20.0000E+06,-67.963428E+00
+20.2500E+06,-66.968701E+00
+20.5000E+06,-74.547334E+00
+20.7500E+06,-74.414834E+00
+21.0000E+06,-65.682998E+00
+21.2500E+06,-68.129150E+00
+21.5000E+06,-81.309893E+00
+21.7500E+06,-70.775010E+00
+22.0000E+06,-74.974619E+00
+22.2500E+06,-75.396572E+00
+22.5000E+06,-64.630811E+00
+22.7500E+06,-73.585361E+00
+23.0000E+06,-67.892061E+00
+23.2500E+06,-69.381338E+00
+23.5000E+06,-79.002021E+00
+23.7500E+06,-81.281201E+00
+24.0000E+06,-69.814287E+00
+24.2500E+06,-70.072725E+00
+24.5000E+06,-71.845518E+00
+24.7500E+06,-81.454619E+00
+25.0000E+06,-80.907471E+00
+25.2500E+06,-72.506885E+00
+25.5000E+06,-75.723096E+00
+25.7500E+06,-68.599287E+00
+26.0000E+06,-75.561494E+00
+26.2500E+06,-71.527979E+00
+26.5000E+06,-69.284912E+00
+26.7500E+06,-66.626123E+00
+27.0000E+06,-69.641045E+00
+27.2500E+06,-69.056455E+00
+27.5000E+06,-79.477490E+00
+27.7500E+06,-73.130752E+00
+28.0000E+06,-70.691338E+00
+28.2500E+06,-71.706709E+00
+28.5000E+06,-80.345166E+00
+28.7500E+06,-75.795752E+00
+29.0000E+06,-68.270986E+00
+29.2500E+06,-85.923799E+00
+29.5000E+06,-67.749873E+00
+29.7500E+06,-63.578994E+00
+30.0000E+06,-83.243799E+00
+30.2500E+06,-80.439463E+00
+30.5000E+06,-71.445732E+00
+30.7500E+06,-74.361475E+00
+31.0000E+06,-74.076807E+00
+31.2500E+06,-70.875244E+00
+31.5000E+06,-68.593506E+00
+31.7500E+06,-69.608057E+00
+32.0000E+06,-63.495674E+00
+32.2500E+06,-64.056846E+00
+32.5000E+06,-70.607373E+00
+32.7500E+06,-82.124365E+00
+33.0000E+06,-67.007139E+00
+33.2500E+06,-76.380439E+00
+33.5000E+06,-82.781338E+00
+33.7500E+06,-83.042432E+00
+34.0000E+06,-70.101143E+00
+34.2500E+06,-67.048857E+00
+34.5000E+06,-68.922041E+00
+34.7500E+06,-76.233076E+00
+35.0000E+06,-76.526025E+00
+35.2500E+06,-68.756416E+00
+35.5000E+06,-88.351768E+00
+35.7500E+06,-70.617510E+00
+36.0000E+06,-70.747275E+00
+36.2500E+06,-66.343799E+00
+36.5000E+06,-71.422725E+00
+36.7500E+06,-68.001826E+00
+37.0000E+06,-74.553486E+00
+37.2500E+06,-70.181338E+00
+37.5000E+06,-64.713623E+00
+37.7500E+06,-69.282197E+00
+38.0000E+06,-62.949404E+00
+38.2500E+06,-68.285010E+00
+38.5000E+06,-80.308076E+00
+38.7500E+06,-69.095850E+00
+39.0000E+06,-69.475439E+00
+39.2500E+06,-72.175225E+00
+39.5000E+06,-65.622529E+00
+39.7500E+06,-70.669658E+00
+40.0000E+06,-66.657764E+00
+40.2500E+06,-71.098330E+00
+40.5000E+06,-70.379717E+00
+40.7500E+06,-68.243779E+00
+41.0000E+06,-71.255771E+00
+41.2500E+06,-74.569678E+00
+41.5000E+06,-72.786592E+00
+41.7500E+06,-84.266787E+00
+42.0000E+06,-67.722061E+00
+42.2500E+06,-68.267256E+00
+42.5000E+06,-72.212646E+00
+42.7500E+06,-69.748154E+00
+43.0000E+06,-81.816143E+00
+43.2500E+06,-66.109131E+00
+43.5000E+06,-73.874775E+00
+43.7500E+06,-82.056885E+00
+44.0000E+06,-70.658779E+00
+44.2500E+06,-73.399697E+00
+44.5000E+06,-72.517861E+00
+44.7500E+06,-67.677002E+00
+45.0000E+06,-74.379541E+00
+45.2500E+06,-77.617646E+00
+45.5000E+06,-77.336025E+00
+45.7500E+06,-66.202979E+00
+46.0000E+06,-68.842510E+00
+46.2500E+06,-72.218994E+00
+46.5000E+06,-78.168799E+00
+46.7500E+06,-70.283682E+00
+47.0000E+06,-72.200459E+00
+47.2500E+06,-79.023525E+00
+47.5000E+06,-77.536084E+00
+47.7500E+06,-78.049678E+00
+48.0000E+06,-78.101963E+00
+48.2500E+06,-68.299561E+00
+48.5000E+06,-66.036123E+00
+48.7500E+06,-68.923877E+00
+49.0000E+06,-76.806377E+00
+49.2500E+06,-79.025518E+00
+49.5000E+06,-66.537627E+00
+49.7500E+06,-74.353857E+00
+50.0000E+06,-71.109131E+00
+50.2500E+06,-71.718896E+00
+50.5000E+06,-65.500088E+00
+50.7500E+06,-69.402549E+00
+51.0000E+06,-72.939658E+00
+51.2500E+06,-77.022412E+00
+51.5000E+06,-78.524775E+00
+51.7500E+06,-73.366455E+00
+52.0000E+06,-76.014951E+00
+52.2500E+06,-74.172842E+00
+52.5000E+06,-86.193896E+00
+52.7500E+06,-68.807041E+00
+53.0000E+06,-65.608740E+00
+53.2500E+06,-84.928037E+00
+53.5000E+06,-71.646475E+00
+53.7500E+06,-82.186865E+00
+54.0000E+06,-70.399697E+00
+54.2500E+06,-68.085205E+00
+54.5000E+06,-67.263604E+00
+54.7500E+06,-80.664873E+00
+55.0000E+06,-70.097217E+00
+55.2500E+06,-75.837080E+00
+55.5000E+06,-67.849854E+00
+55.7500E+06,-70.446865E+00
+56.0000E+06,-70.244775E+00
+56.2500E+06,-68.436279E+00
+56.5000E+06,-77.006689E+00
+56.7500E+06,-72.753740E+00
+57.0000E+06,-85.285361E+00
+57.2500E+06,-68.392080E+00
+57.5000E+06,-74.637451E+00
+57.7500E+06,-72.849033E+00
+58.0000E+06,-74.695479E+00
+58.2500E+06,-75.172803E+00
+58.5000E+06,-69.214365E+00
+58.7500E+06,-68.115967E+00
+59.0000E+06,-73.609443E+00
+59.2500E+06,-78.417412E+00
+59.5000E+06,-75.247783E+00
+59.7500E+06,-69.865381E+00
+60.0000E+06,-67.586182E+00
+60.2500E+06,-76.576221E+00
+60.5000E+06,-71.208545E+00
+60.7500E+06,-71.364248E+00
+61.0000E+06,-76.386240E+00
+61.2500E+06,-68.068896E+00
+61.5000E+06,-83.655244E+00
+61.7500E+06,-70.039053E+00
+62.0000E+06,-62.092510E+00
+62.2500E+06,-70.680283E+00
+62.5000E+06,-70.074463E+00
+62.7500E+06,-72.504619E+00
+63.0000E+06,-75.795166E+00
+63.2500E+06,-68.498213E+00
+63.5000E+06,-73.759990E+00
+63.7500E+06,-76.686084E+00
+64.0000E+06,-67.612842E+00
+64.2500E+06,-75.175635E+00
+64.5000E+06,-70.859424E+00
+64.7500E+06,-64.869189E+00
+65.0000E+06,-76.918994E+00
+65.2500E+06,-70.997061E+00
+65.5000E+06,-70.770889E+00
+65.7500E+06,-65.368545E+00
+66.0000E+06,-73.605811E+00
+66.2500E+06,-65.109424E+00
+66.5000E+06,-69.912979E+00
+66.7500E+06,-76.602822E+00
+67.0000E+06,-70.255225E+00
+67.2500E+06,-72.140361E+00
+67.5000E+06,-72.913330E+00
+67.7500E+06,-79.533525E+00
+68.0000E+06,-77.384521E+00
+68.2500E+06,-69.564189E+00
+68.5000E+06,-81.549111E+00
+68.7500E+06,-76.343994E+00
+69.0000E+06,-66.796748E+00
+69.2500E+06,-78.887471E+00
+69.5000E+06,-74.846982E+00
+69.7500E+06,-66.073799E+00
+70.0000E+06,-78.048096E+00
+70.2500E+06,-75.163799E+00
+70.5000E+06,-79.930752E+00
+70.7500E+06,-70.678857E+00
+71.0000E+06,-78.737412E+00
+71.2500E+06,-67.106201E+00
+71.5000E+06,-76.134561E+00
+71.7500E+06,-73.396943E+00
+72.0000E+06,-80.944912E+00
+72.2500E+06,-82.139521E+00
+72.5000E+06,-73.506982E+00
+72.7500E+06,-75.723428E+00
+73.0000E+06,-72.467881E+00
+73.2500E+06,-81.344951E+00
+73.5000E+06,-68.423682E+00
+73.7500E+06,-71.312061E+00
+74.0000E+06,-76.477412E+00
+74.2500E+06,-70.272959E+00
+74.5000E+06,-71.976982E+00
+74.7500E+06,-69.341104E+00
+75.0000E+06,-77.953857E+00
+75.2500E+06,-72.711982E+00
+75.5000E+06,-70.675771E+00
+75.7500E+06,-77.561494E+00
+76.0000E+06,-67.896338E+00
+76.2500E+06,-66.904443E+00
+76.5000E+06,-69.113955E+00
+76.7500E+06,-77.151162E+00
+77.0000E+06,-65.328350E+00
+77.2500E+06,-68.492861E+00
+77.5000E+06,-72.211182E+00
+77.7500E+06,-63.999014E+00
+78.0000E+06,-81.945342E+00
+78.2500E+06,-73.749346E+00
+78.5000E+06,-74.089951E+00
+78.7500E+06,-78.388135E+00
+79.0000E+06,-66.987959E+00
+79.2500E+06,-73.467822E+00
+79.5000E+06,-73.341768E+00
+79.7500E+06,-67.715146E+00
+80.0000E+06,-72.972217E+00
+80.2500E+06,-72.778799E+00
+80.5000E+06,-67.526416E+00
+80.7500E+06,-75.044072E+00
+81.0000E+06,-69.398252E+00
+81.2500E+06,-67.632568E+00
+81.5000E+06,-74.856611E+00
+81.7500E+06,-74.963584E+00
+82.0000E+06,-70.492725E+00
+82.2500E+06,-72.951904E+00
+82.5000E+06,-71.199365E+00
+82.7500E+06,-66.768545E+00
+83.0000E+06,-82.066377E+00
+83.2500E+06,-67.232568E+00
+83.5000E+06,-78.616982E+00
+83.7500E+06,-64.765479E+00
+84.0000E+06,-77.949951E+00
+84.2500E+06,-69.456650E+00
+84.5000E+06,-70.659014E+00
+84.7500E+06,-65.217568E+00
+85.0000E+06,-73.764111E+00
+85.2500E+06,-77.039951E+00
+85.5000E+06,-69.634014E+00
+85.7500E+06,-77.251494E+00
+86.0000E+06,-75.511123E+00
+86.2500E+06,-72.112939E+00
+86.5000E+06,-65.536592E+00
+86.7500E+06,-75.247061E+00
+87.0000E+06,-73.660127E+00
+87.2500E+06,-89.793428E+00
+87.5000E+06,-70.426025E+00
+87.7500E+06,-73.786748E+00
+88.0000E+06,-66.610264E+00
+88.2500E+06,-77.999678E+00
+88.5000E+06,-74.038994E+00
+88.7500E+06,-73.792627E+00
+89.0000E+06,-70.985361E+00
+89.2500E+06,-70.731689E+00
+89.5000E+06,-76.679717E+00
+89.7500E+06,-69.968232E+00
+90.0000E+06,-71.474854E+00
+90.2500E+06,-73.683428E+00
+90.5000E+06,-68.115947E+00
+90.7500E+06,-80.692100E+00
+91.0000E+06,-87.880166E+00
+91.2500E+06,-77.221436E+00
+91.5000E+06,-74.332178E+00
+91.7500E+06,-79.679209E+00
+92.0000E+06,-75.636709E+00
+92.2500E+06,-76.554775E+00
+92.5000E+06,-69.572607E+00
+92.7500E+06,-68.646494E+00
+93.0000E+06,-80.718525E+00
+93.2500E+06,-74.877549E+00
+93.5000E+06,-69.789678E+00
+93.7500E+06,-72.884521E+00
+94.0000E+06,-71.283350E+00
+94.2500E+06,-85.562354E+00
+94.5000E+06,-79.667393E+00
+94.7500E+06,-75.193740E+00
+95.0000E+06,-77.593604E+00
+95.2500E+06,-78.866475E+00
+95.5000E+06,-81.134502E+00
+95.7500E+06,-72.649775E+00
+96.0000E+06,-70.000342E+00
+96.2500E+06,-69.243115E+00
+96.5000E+06,-66.859111E+00
+96.7500E+06,-73.921338E+00
+97.0000E+06,-74.703818E+00
+97.2500E+06,-69.168877E+00
+97.5000E+06,-78.126416E+00
+97.7500E+06,-73.861807E+00
+98.0000E+06,-67.722334E+00
+98.2500E+06,-74.722588E+00
+98.5000E+06,-87.460225E+00
+98.7500E+06,-70.498779E+00
+99.0000E+06,-76.506064E+00
+99.2500E+06,-72.834775E+00
+99.5000E+06,-83.121436E+00
+99.7500E+06,-82.217256E+00
+100.0000E+06,-72.603271E+00
+100.2500E+06,-76.769873E+00
+100.5000E+06,-80.093857E+00
+100.7500E+06,-77.583232E+00
+101.0000E+06,-72.886025E+00
+101.2500E+06,-77.590771E+00
+101.5000E+06,-86.970049E+00
+101.7500E+06,-75.505908E+00
+102.0000E+06,-73.236318E+00
+102.2500E+06,-71.046924E+00
+102.5000E+06,-78.326221E+00
+102.7500E+06,-68.253291E+00
+103.0000E+06,-72.969229E+00
+103.2500E+06,-78.214619E+00
+103.5000E+06,-69.003955E+00
+103.7500E+06,-73.461572E+00
+104.0000E+06,-83.024424E+00
+104.2500E+06,-75.530381E+00
+104.5000E+06,-73.580459E+00
+104.7500E+06,-80.178682E+00
+105.0000E+06,-72.308545E+00
+105.2500E+06,-81.299326E+00
+105.5000E+06,-74.306846E+00
+105.7500E+06,-71.885244E+00
+106.0000E+06,-75.876260E+00
+106.2500E+06,-76.298096E+00
+106.5000E+06,-79.846182E+00
+106.7500E+06,-77.666748E+00
+107.0000E+06,-73.422939E+00
